device_id,device_name,mac_prefix,uuid_entropy,rssi_jitter,adv_interval,service_count,packet_loss_rate,label
1,AirPods_Gen2,00:25:96,2.3,2.9,150,7,0.05,1
2,AirPods_Gen2,00:25:96,2.5,1.2,200,6,0.03,1
3,AirPods_Gen2,00:25:96,2.7,0.8,250,8,0.07,1
4,AirPods_Gen2,00:25:96,2.1,2.5,180,5,0.04,1
5,AirPods_Gen2,00:25:96,2.6,1.8,220,7,0.06,1
6,AirPods_Gen2,00:25:96,2.4,2.1,160,6,0.02,1
7,AirPods_Gen2,00:25:96,2.8,0.5,280,8,0.08,1
8,AirPods_Gen2,00:25:96,2.2,1.9,190,5,0.05,1
9,AirPods_Gen2,00:25:96,2.3,2.7,170,7,0.03,1
10,AirPods_Gen2,00:25:96,2.5,1.4,210,6,0.07,0
11,AirPods_Gen2,00:25:96,2.6,0.9,240,8,0.04,1
12,AirPods_Gen2,00:25:96,2.4,2.3,140,5,0.06,1
13,AirPods_Gen2,00:25:96,2.7,1.6,260,7,0.02,1
14,AirPods_Gen2,00:25:96,2.1,2.8,130,6,0.08,1
15,AirPods_Gen2,00:25:96,2.5,1.1,230,8,0.05,1
16,AirPods_Gen2,00:25:96,2.3,2.4,180,5,0.03,1
17,AirPods_Gen2,00:25:96,2.6,0.7,270,7,0.07,1
18,AirPods_Gen2,00:25:96,2.4,1.7,200,6,0.04,1
19,AirPods_Gen2,00:25:96,2.7,2.2,250,8,0.06,1
20,AirPods_Gen2,00:25:96,2.2,1.3,160,5,0.02,0
21,AirPods_Gen2,00:25:96,2.5,2.6,220,7,0.08,1
22,AirPods_Gen2,00:25:96,2.3,0.8,190,6,0.05,1
23,AirPods_Gen2,00:25:96,2.6,1.9,240,8,0.03,1
24,AirPods_Gen2,00:25:96,2.4,2.5,210,5,0.07,1
25,AirPods_Gen2,00:25:96,2.7,1.2,280,7,0.04,1
26,AirPods_Gen2,00:25:96,2.1,2.1,170,6,0.06,1
27,AirPods_Gen2,00:25:96,2.5,1.8,230,8,0.02,1
28,AirPods_Gen2,00:25:96,2.3,2.9,150,5,0.08,1
29,AirPods_Gen2,00:25:96,2.6,0.6,260,7,0.05,1
30,AirPods_Gen2,00:25:96,2.4,1.5,200,6,0.03,0
31,AirPods_Gen2,00:25:96,2.7,2.3,240,8,0.07,1
32,AirPods_Gen2,00:25:96,2.2,1.0,180,5,0.04,1
33,AirPods_Gen2,00:25:96,2.5,2.7,220,7,0.06,1
34,AirPods_Gen2,00:25:96,2.3,1.4,160,6,0.02,1
35,AirPods_Gen2,00:25:96,2.6,2.0,250,8,0.08,1
36,AirPods_Gen2,00:25:96,2.4,0.9,190,5,0.05,1
37,AirPods_Gen2,00:25:96,2.7,1.7,270,7,0.03,1
38,AirPods_Gen2,00:25:96,2.1,2.4,210,6,0.07,1
39,AirPods_Gen2,00:25:96,2.5,1.1,230,8,0.04,1
40,AirPods_Gen2,00:25:96,2.3,2.8,170,5,0.06,0
41,AirPods_Gen2,00:25:96,2.6,0.5,280,7,0.02,1
42,AirPods_Gen2,00:25:96,2.4,1.6,200,6,0.08,1
43,AirPods_Gen2,00:25:96,2.7,2.2,250,8,0.05,1
44,AirPods_Gen2,00:25:96,2.2,1.3,180,5,0.06,1
45,AirPods_Gen2,00:25:96,2.5,2.6,220,7,0.02,1
46,AirPods_Gen2,00:25:96,2.3,0.8,160,6,0.08,1
47,AirPods_Gen2,00:25:96,2.6,1.9,240,8,0.05,1
48,AirPods_Gen2,00:25:96,2.4,2.5,190,5,0.03,1
49,AirPods_Gen2,00:25:96,2.7,1.2,260,7,0.07,1
50,AirPods_Gen2,00:25:96,2.1,2.1,210,6,0.05,0
51,AirPods_Gen2,00:25:96,2.5,1.8,230,8,0.03,1
52,AirPods_Gen2,00:25:96,2.3,2.9,170,5,0.07,1
53,AirPods_Gen2,00:25:96,2.6,0.6,250,7,0.04,1
54,AirPods_Gen2,00:25:96,2.4,1.5,200,6,0.06,1
55,AirPods_Gen2,00:25:96,2.7,2.3,240,8,0.02,1
56,AirPods_Gen2,00:25:96,2.2,1.0,180,5,0.08,1
57,AirPods_Gen2,00:25:96,2.5,2.7,220,7,0.05,1
58,AirPods_Gen2,00:25:96,2.3,1.4,160,6,0.03,1
59,AirPods_Gen2,00:25:96,2.6,2.0,250,8,0.07,1
60,AirPods_Gen2,00:25:96,2.4,0.9,190,5,0.04,1
61,AirPods_Gen2,00:25:96,2.7,1.7,270,7,0.06,1
62,AirPods_Gen2,00:25:96,2.1,2.4,210,6,0.02,1
63,AirPods_Gen2,00:25:96,2.5,1.1,230,8,0.08,1
64,AirPods_Gen2,00:25:96,2.3,2.8,170,5,0.05,1
65,AirPods_Gen2,00:25:96,2.6,0.5,280,7,0.03,1
66,AirPods_Gen2,00:25:96,2.4,1.6,200,6,0.07,1
67,AirPods_Gen2,00:25:96,2.7,2.2,250,8,0.04,1
68,AirPods_Gen2,00:25:96,2.2,1.3,180,5,0.06,1
69,AirPods_Gen2,00:25:96,2.5,2.6,220,7,0.02,1
70,AirPods_Gen2,00:25:96,2.3,0.8,160,6,0.08,1
71,Unknown_Sensor,FF:FF:FF,8.2,14.1,650,1,0.12,0
72,Unknown_Sensor,FF:FF:FF,7.5,12.3,800,2,0.09,0
73,Unknown_Sensor,FF:FF:FF,9.1,15.2,720,1,0.14,0
74,Unknown_Sensor,FF:FF:FF,7.8,13.5,680,2,0.11,0
75,Unknown_Sensor,FF:FF:FF,8.9,11.8,750,1,0.13,0
76,Unknown_Sensor,FF:FF:FF,7.2,14.7,690,2,0.10,0
77,Unknown_Sensor,FF:FF:FF,9.5,12.9,710,1,0.15,0
78,Unknown_Sensor,FF:FF:FF,8.0,13.2,730,2,0.08,0
79,Unknown_Sensor,FF:FF:FF,7.6,15.0,670,1,0.12,0
80,Unknown_Sensor,FF:FF:FF,8.7,12.1,740,2,0.09,1
81,Unknown_Sensor,FF:FF:FF,7.9,14.4,660,1,0.14,0
82,Unknown_Sensor,FF:FF:FF,9.2,13.8,780,2,0.11,0
83,Unknown_Sensor,FF:FF:FF,8.4,12.6,700,1,0.13,0
84,Unknown_Sensor,FF:FF:FF,7.3,15.5,690,2,0.10,0
85,Unknown_Sensor,FF:FF:FF,8.6,11.9,760,1,0.15,0
86,Unknown_Sensor,FF:FF:FF,7.7,14.0,680,2,0.08,0
87,Unknown_Sensor,FF:FF:FF,9.0,13.3,720,1,0.12,0
88,Unknown_Sensor,FF:FF:FF,8.1,12.7,740,2,0.09,0
89,Unknown_Sensor,FF:FF:FF,7.4,15.1,670,1,0.14,0
90,Unknown_Sensor,FF:FF:FF,8.8,13.1,710,2,0.11,1
91,Unknown_Sensor,FF:FF:FF,7.1,14.6,730,1,0.13,0
92,Unknown_Sensor,FF:FF:FF,9.3,12.4,750,2,0.10,0
93,Unknown_Sensor,FF:FF:FF,8.3,13.7,690,1,0.15,0
94,Unknown_Sensor,FF:FF:FF,7.5,15.3,680,2,0.08,0
95,Unknown_Sensor,FF:FF:FF,8.5,12.2,760,1,0.12,0
96,Unknown_Sensor,FF:FF:FF,7.8,14.2,700,2,0.09,0
97,Unknown_Sensor,FF:FF:FF,9.4,13.4,720,1,0.14,0
98,Unknown_Sensor,FF:FF:FF,8.2,12.8,740,2,0.11,0
99,Unknown_Sensor,FF:FF:FF,7.6,15.4,670,1,0.13,0
100,Unknown_Sensor,FF:FF:FF,8.9,13.0,710,2,0.10,0
